id x y status inf_cout
408 784 380 SUSCEPTIBLE 0
409 814 595 INFECTED 1
410 612 104 SUSCEPTIBLE 0
411 709 165 SUSCEPTIBLE 0
412 520 962 SUSCEPTIBLE 0
413 71 983 INFECTED 1
414 590 146 SUSCEPTIBLE 0
415 396 733 SUSCEPTIBLE 0
416 114 976 INFECTED 1
417 770 371 SUSCEPTIBLE 0
418 887 611 SUSCEPTIBLE 0
419 467 76 INFECTED 1
420 144 920 SUSCEPTIBLE 0
421 566 309 INFECTED 1
422 827 60 SUSCEPTIBLE 0
423 918 253 INFECTED 1
424 170 888 INFECTED 1
425 485 958 SUSCEPTIBLE 0
426 533 788 INFECTED 1
427 163 97 INFECTED 1
428 93 870 INFECTED 1
429 214 617 INFECTED 1
430 802 173 INFECTED 1
431 851 624 SUSCEPTIBLE 0
432 975 858 SUSCEPTIBLE 0
433 34 421 SUSCEPTIBLE 0
434 904 312 SUSCEPTIBLE 0
435 80 242 INFECTED 1
436 904 385 SUSCEPTIBLE 0
437 721 449 INFECTED 1
438 679 189 INFECTED 1
439 813 815 SUSCEPTIBLE 0
440 736 204 INFECTED 1
441 470 643 SUSCEPTIBLE 0
442 795 998 INFECTED 1
443 242 736 SUSCEPTIBLE 0
444 7 507 INFECTED 1
445 788 499 SUSCEPTIBLE 0
446 286 626 SUSCEPTIBLE 0
447 920 243 SUSCEPTIBLE 0
448 830 943 SUSCEPTIBLE 0
449 393 931 SUSCEPTIBLE 0
450 105 704 SUSCEPTIBLE 0
451 674 464 INFECTED 1
452 691 348 INFECTED 1
453 653 906 SUSCEPTIBLE 0
454 320 543 INFECTED 1
455 641 331 SUSCEPTIBLE 0
456 273 88 SUSCEPTIBLE 0
457 47 34 SUSCEPTIBLE 0
458 249 328 INFECTED 1
459 311 804 SUSCEPTIBLE 0
460 190 842 SUSCEPTIBLE 0
461 882 227 SUSCEPTIBLE 0
462 331 749 SUSCEPTIBLE 0
463 174 129 SUSCEPTIBLE 0
464 785 696 SUSCEPTIBLE 0
465 690 379 INFECTED 1
466 707 613 SUSCEPTIBLE 0
467 198 244 SUSCEPTIBLE 0
468 67 938 INFECTED 1
469 694 160 INFECTED 1
470 535 126 SUSCEPTIBLE 0
471 301 953 SUSCEPTIBLE 0
472 522 430 SUSCEPTIBLE 0
473 810 445 SUSCEPTIBLE 0
474 927 829 INFECTED 1
475 768 600 SUSCEPTIBLE 0
476 146 381 SUSCEPTIBLE 0
477 111 210 SUSCEPTIBLE 0
478 3 108 SUSCEPTIBLE 0
479 256 448 SUSCEPTIBLE 0
480 421 505 SUSCEPTIBLE 0
481 39 529 SUSCEPTIBLE 0
482 145 324 SUSCEPTIBLE 0
483 471 921 INFECTED 1
484 373 16 INFECTED 1
485 775 307 INFECTED 1
486 141 548 INFECTED 1
487 692 271 SUSCEPTIBLE 0
488 12 327 SUSCEPTIBLE 0
489 647 971 INFECTED 1
490 541 444 INFECTED 1
491 503 379 SUSCEPTIBLE 0
492 648 197 SUSCEPTIBLE 0
493 519 415 SUSCEPTIBLE 0
494 299 586 INFECTED 1
495 857 421 SUSCEPTIBLE 0
496 597 410 SUSCEPTIBLE 0
497 627 74 SUSCEPTIBLE 0
498 172 559 INFECTED 1
499 198 48 SUSCEPTIBLE 0
500 474 435 SUSCEPTIBLE 0
501 478 119 INFECTED 1
502 705 857 SUSCEPTIBLE 0
503 637 917 SUSCEPTIBLE 0
504 186 892 SUSCEPTIBLE 0
505 919 867 INFECTED 1
506 515 676 SUSCEPTIBLE 0
507 541 834 SUSCEPTIBLE 0
508 380 528 SUSCEPTIBLE 0
509 179 113 SUSCEPTIBLE 0
510 175 26 SUSCEPTIBLE 0
511 178 242 SUSCEPTIBLE 0
512 955 13 INFECTED 1
513 465 710 SUSCEPTIBLE 0
514 204 621 SUSCEPTIBLE 0
515 618 124 SUSCEPTIBLE 0
516 481 535 INFECTED 1
517 420 876 SUSCEPTIBLE 0
518 924 308 SUSCEPTIBLE 0
519 62 589 SUSCEPTIBLE 0
520 6 292 SUSCEPTIBLE 0
521 608 359 SUSCEPTIBLE 0
522 676 156 INFECTED 1
523 576 111 SUSCEPTIBLE 0
524 189 760 INFECTED 1
525 743 578 SUSCEPTIBLE 0
526 680 744 SUSCEPTIBLE 0
527 43 428 SUSCEPTIBLE 0
528 626 643 INFECTED 1
529 4 293 INFECTED 1
530 319 549 SUSCEPTIBLE 0
531 373 219 SUSCEPTIBLE 0
532 698 469 SUSCEPTIBLE 0
533 204 893 INFECTED 1
534 612 381 SUSCEPTIBLE 0
535 528 150 INFECTED 1
536 252 173 SUSCEPTIBLE 0
537 336 195 INFECTED 1
538 997 495 SUSCEPTIBLE 0
539 233 539 INFECTED 1
540 752 525 SUSCEPTIBLE 0
541 416 296 INFECTED 1
542 15 468 SUSCEPTIBLE 0
543 831 414 SUSCEPTIBLE 0
544 587 960 SUSCEPTIBLE 0
545 568 138 SUSCEPTIBLE 0
546 724 447 SUSCEPTIBLE 0
547 986 637 SUSCEPTIBLE 0
548 86 730 SUSCEPTIBLE 0
549 556 850 INFECTED 1
550 234 68 SUSCEPTIBLE 0
551 483 452 SUSCEPTIBLE 0
552 79 606 SUSCEPTIBLE 0
553 32 115 INFECTED 1
554 530 277 INFECTED 1
555 837 594 SUSCEPTIBLE 0
556 786 392 SUSCEPTIBLE 0
557 821 265 SUSCEPTIBLE 0
558 378 310 SUSCEPTIBLE 0
559 388 983 SUSCEPTIBLE 0
560 608 523 SUSCEPTIBLE 0
561 36 319 INFECTED 1
562 326 477 SUSCEPTIBLE 0
563 722 692 INFECTED 1
564 510 947 SUSCEPTIBLE 0
565 257 382 SUSCEPTIBLE 0
566 410 351 SUSCEPTIBLE 0
567 41 306 SUSCEPTIBLE 0
