id x y status inf_cout
346 71 897 SUSCEPTIBLE 1
347 831 330 SUSCEPTIBLE 0
348 648 232 SUSCEPTIBLE 0
349 545 693 SUSCEPTIBLE 1
350 268 943 SUSCEPTIBLE 0
351 556 551 SUSCEPTIBLE 1
352 42 518 SUSCEPTIBLE 0
353 576 818 SUSCEPTIBLE 0
354 792 266 SUSCEPTIBLE 1
355 316 533 SUSCEPTIBLE 0
356 909 496 SUSCEPTIBLE 0
357 440 196 SUSCEPTIBLE 1
358 28 849 SUSCEPTIBLE 1
359 792 792 SUSCEPTIBLE 1
360 994 42 SUSCEPTIBLE 1
361 375 750 SUSCEPTIBLE 1
362 736 289 SUSCEPTIBLE 0
363 214 375 SUSCEPTIBLE 1
364 751 402 SUSCEPTIBLE 0
365 164 844 SUSCEPTIBLE 1
366 691 837 SUSCEPTIBLE 1
367 656 42 SUSCEPTIBLE 1
368 755 881 SUSCEPTIBLE 1
369 632 690 SUSCEPTIBLE 0
370 654 274 SUSCEPTIBLE 1
371 198 920 SUSCEPTIBLE 0
372 275 682 SUSCEPTIBLE 1
373 479 920 SUSCEPTIBLE 2
374 975 993 SUSCEPTIBLE 0
375 754 917 SUSCEPTIBLE 1
376 865 31 SUSCEPTIBLE 1
377 123 562 SUSCEPTIBLE 1
378 825 448 SUSCEPTIBLE 1
379 327 501 SUSCEPTIBLE 1
380 856 332 SUSCEPTIBLE 0
381 388 683 SUSCEPTIBLE 0
382 396 177 SUSCEPTIBLE 1
383 787 530 SUSCEPTIBLE 1
384 746 894 SUSCEPTIBLE 1
385 773 897 SUSCEPTIBLE 0
386 992 13 SUSCEPTIBLE 1
387 529 167 SUSCEPTIBLE 0
388 865 550 SUSCEPTIBLE 1
389 578 170 SUSCEPTIBLE 1
390 341 789 SUSCEPTIBLE 1
391 919 711 SUSCEPTIBLE 0
392 195 57 SUSCEPTIBLE 0
393 970 432 SUSCEPTIBLE 1
394 675 465 SUSCEPTIBLE 1
395 581 765 SUSCEPTIBLE 0
396 477 104 SUSCEPTIBLE 1
397 641 921 SUSCEPTIBLE 1
398 946 615 SUSCEPTIBLE 1
399 418 336 SUSCEPTIBLE 0
400 44 76 SUSCEPTIBLE 1
401 812 979 SUSCEPTIBLE 2
402 164 764 SUSCEPTIBLE 1
403 820 492 SUSCEPTIBLE 2
404 709 602 SUSCEPTIBLE 1
405 426 11 SUSCEPTIBLE 0
406 626 504 SUSCEPTIBLE 0
407 661 943 SUSCEPTIBLE 1
408 218 380 SUSCEPTIBLE 1
409 566 595 SUSCEPTIBLE 1
410 120 104 SUSCEPTIBLE 0
411 709 363 SUSCEPTIBLE 0
412 520 208 SUSCEPTIBLE 1
413 541 983 SUSCEPTIBLE 1
414 590 352 SUSCEPTIBLE 0
415 852 733 SUSCEPTIBLE 1
416 114 98 SUSCEPTIBLE 1
417 770 641 SUSCEPTIBLE 0
418 887 25 SUSCEPTIBLE 0
419 133 76 SUSCEPTIBLE 1
420 144 440 SUSCEPTIBLE 0
421 160 309 SUSCEPTIBLE 1
422 827 864 SUSCEPTIBLE 1
423 918 817 SUSCEPTIBLE 1
424 170 906 SUSCEPTIBLE 1
425 485 338 SUSCEPTIBLE 0
