id x y status inf_cout
423 918 993 INFECTED 1
424 170 420 INFECTED 1
425 485 104 SUSCEPTIBLE 0
426 533 86 INFECTED 1
427 163 427 INFECTED 1
428 93 696 INFECTED 1
429 724 617 INFECTED 1
430 802 477 INFECTED 1
431 471 624 SUSCEPTIBLE 0
432 45 858 SUSCEPTIBLE 0
433 962 421 SUSCEPTIBLE 0
434 226 312 SUSCEPTIBLE 0
435 458 242 INFECTED 1
436 658 385 SUSCEPTIBLE 0
437 721 561 INFECTED 1
438 757 189 SUSCEPTIBLE 0
439 813 877 SUSCEPTIBLE 0
440 736 330 INFECTED 1
441 470 449 SUSCEPTIBLE 0
442 481 998 INFECTED 1
443 242 940 SUSCEPTIBLE 0
444 45 507 INFECTED 1
445 788 97 SUSCEPTIBLE 0
446 286 694 SUSCEPTIBLE 0
447 572 243 SUSCEPTIBLE 0
448 292 943 SUSCEPTIBLE 0
449 393 645 SUSCEPTIBLE 0
450 363 704 SUSCEPTIBLE 0
451 646 464 INFECTED 1
452 691 666 INFECTED 1
453 763 906 SUSCEPTIBLE 0
454 320 679 INFECTED 1
455 641 705 SUSCEPTIBLE 0
456 649 88 SUSCEPTIBLE 0
457 733 34 SUSCEPTIBLE 0
458 739 328 INFECTED 1
459 511 804 SUSCEPTIBLE 0
460 190 974 SUSCEPTIBLE 0
461 882 149 SUSCEPTIBLE 0
462 547 749 SUSCEPTIBLE 0
463 174 175 SUSCEPTIBLE 0
464 263 696 SUSCEPTIBLE 0
465 730 379 SUSCEPTIBLE 0
466 707 393 SUSCEPTIBLE 0
467 198 92 SUSCEPTIBLE 0
468 67 826 SUSCEPTIBLE 0
469 694 940 INFECTED 1
470 409 126 SUSCEPTIBLE 0
471 301 429 SUSCEPTIBLE 0
472 844 430 SUSCEPTIBLE 0
473 810 533 SUSCEPTIBLE 0
474 927 779 INFECTED 1
475 590 600 SUSCEPTIBLE 0
476 146 451 SUSCEPTIBLE 0
477 111 356 SUSCEPTIBLE 0
478 201 108 SUSCEPTIBLE 0
479 256 230 SUSCEPTIBLE 0
480 661 505 SUSCEPTIBLE 0
481 39 319 SUSCEPTIBLE 0
482 817 324 SUSCEPTIBLE 0
483 643 921 INFECTED 1
484 373 550 SUSCEPTIBLE 0
485 625 307 INFECTED 1
486 415 548 INFECTED 1
487 778 271 SUSCEPTIBLE 0
488 776 327 SUSCEPTIBLE 0
489 647 217 SUSCEPTIBLE 0
490 541 752 INFECTED 1
491 393 379 SUSCEPTIBLE 0
492 648 761 SUSCEPTIBLE 0
493 69 415 SUSCEPTIBLE 0
494 963 586 SUSCEPTIBLE 0
495 857 805 SUSCEPTIBLE 0
496 133 410 SUSCEPTIBLE 0
497 627 392 SUSCEPTIBLE 0
498 864 559 INFECTED 1
499 938 48 SUSCEPTIBLE 0
500 528 435 SUSCEPTIBLE 0
501 570 119 INFECTED 1
502 705 831 SUSCEPTIBLE 0
503 637 775 SUSCEPTIBLE 0
504 186 526 SUSCEPTIBLE 0
505 919 955 INFECTED 1
506 515 774 SUSCEPTIBLE 0
507 541 226 SUSCEPTIBLE 0
508 380 60 SUSCEPTIBLE 0
509 179 343 SUSCEPTIBLE 0
510 175 358 SUSCEPTIBLE 0
511 852 242 SUSCEPTIBLE 0
512 769 13 INFECTED 1
513 969 710 SUSCEPTIBLE 0
514 204 673 SUSCEPTIBLE 0
515 618 420 SUSCEPTIBLE 0
516 481 77 SUSCEPTIBLE 0
517 420 312 SUSCEPTIBLE 0
518 390 308 SUSCEPTIBLE 0
519 550 589 SUSCEPTIBLE 0
520 602 292 SUSCEPTIBLE 0
521 4 359 SUSCEPTIBLE 0
522 752 156 INFECTED 1
523 576 645 SUSCEPTIBLE 0
524 723 760 INFECTED 1
525 73 578 SUSCEPTIBLE 0
526 886 744 SUSCEPTIBLE 0
527 53 428 SUSCEPTIBLE 0
528 720 643 INFECTED 1
529 4 163 INFECTED 1
530 319 763 SUSCEPTIBLE 0
531 409 219 SUSCEPTIBLE 0
532 698 705 SUSCEPTIBLE 0
533 284 893 INFECTED 1
534 358 381 SUSCEPTIBLE 0
535 528 524 INFECTED 1
536 168 173 SUSCEPTIBLE 0
537 336 783 INFECTED 1
538 547 495 SUSCEPTIBLE 0
539 433 539 INFECTED 1
540 246 525 SUSCEPTIBLE 0
541 138 296 INFECTED 1
542 677 468 SUSCEPTIBLE 0
543 711 414 SUSCEPTIBLE 0
544 587 306 SUSCEPTIBLE 0
545 90 138 SUSCEPTIBLE 0
546 352 447 SUSCEPTIBLE 0
547 986 841 SUSCEPTIBLE 0
548 86 260 SUSCEPTIBLE 0
549 556 904 INFECTED 1
550 92 68 SUSCEPTIBLE 0
551 483 772 SUSCEPTIBLE 0
552 79 892 SUSCEPTIBLE 0
553 32 889 INFECTED 1
554 56 277 INFECTED 1
555 837 526 SUSCEPTIBLE 0
556 786 198 SUSCEPTIBLE 0
557 821 309 SUSCEPTIBLE 0
558 378 614 SUSCEPTIBLE 0
559 388 839 SUSCEPTIBLE 0
560 732 523 SUSCEPTIBLE 0
561 132 319 INFECTED 1
562 596 477 SUSCEPTIBLE 0
563 722 104 INFECTED 1
564 22 947 SUSCEPTIBLE 0
565 257 28 SUSCEPTIBLE 0
566 642 351 SUSCEPTIBLE 0
567 191 306 SUSCEPTIBLE 0
568 829 12 SUSCEPTIBLE 0
569 50 433 SUSCEPTIBLE 0
